Endpoint|"Species NCBI TaxID"|"Species ECOTOX Number"|
LC50|36177|2516|
LC50|8081|28|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|8081|28|
LC50|7955|5156|
LC50|7955|5156|
LD50|7955|5156|
LD50|7957|25|
LD50|8019|23|
LD50|74940|22|
LD50|8022|4|
LD50|8022|4|
LD50|145637|5642|
LC50|91582|2638|
LC50|104777|1747|
LC50|152158|1357|
LC50|8127|134|
LC50|195543|1186|
LC50|104777|1747|
LC50|45438|2353|
LC50|8404|358|
LC50|8404|358|
LC50|8404|358|
LC50||4676|
LC50|158387|6038|
LC50|35525|5|
LC50|110441|142|
LC50||4676|
LC50|35525|5|
LC50|88015|649|
LC50|110441|142|
LC50|8090|109|
LC50|8090|109|
LC50|8090|109|
LC50|8090|109|
LC50|8355|206|
LC50|91582|2638|
LC50|91582|2638|
LC50|91582|2638|
LC50|91582|2638|
LC50|91582|2638|
LC50|91582|2638|
LC50|91582|2638|
LC50|91582|2638|
LC50|91582|2638|
LC50|91582|2638|
LC50|35525|5|
LC50|35525|5|
LC50|93621|352|
LC50||2422|
LC50||2422|
LC50||2422|
LC50||1077|
LC50||2422|
LC50||2422|
LC50||2422|
LC50||2422|
LC50|7159|230|
LC50||18447|
LC50|7159|230|
LC50||18447|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|8355|206|
LC50|88015|649|
LC50|221654|302|
LC50|7153|85|
LC50|315576|964|
LC50|36095|24578|
LC50|109671|899|
LC50|50959|494|
LC50|106804|31617|
LC50||16354|
LC50|50959|494|
LC50|55729|2441|
LC50|191805|569|
LC50|50959|494|
LC50|8355|206|
LC50|8355|206|
LC50|117530|2371|
LC50|221654|302|
LC50|294128|52|
LC50|221654|302|
LC50|35525|5|
LC50|221654|302|
LC50|50959|494|
LC50|6661|3004|
LC50|35525|5|
LC50|90988|1|
LC50|90988|1|
LC50|7955|5156|
LC50|90988|1|
LD50||2793|
LC50|6723|4690|
LC50|79674|648|
LC50|79674|648|
LC50|6728|102|
LC50|120202|240|
LC50|683979|18822|
LC50|79674|648|
LC50|79674|648|
LC50||18819|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|42528|11805|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7962|21|
LC50|7962|21|
LC50|7962|21|
LC50|7962|21|
LC50|338287|18821|
LC50|204742|5301|
LC50|223650|1577|
LC50||4676|
LC50||4676|
LC50|91582|2638|
LC50|8090|109|
LC50||2422|
LC50||18421|
LC50||2422|
LC50||2422|
LC50|7176|397|
LC50|38782|1545|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|7159|230|
LC50|117530|2371|
LC50|35525|5|
LC50|117530|2371|
LC50|35525|5|
LC50|35525|5|
LC50|117530|2371|
LC50|117530|2371|
LC50|90988|1|
LC50|90988|1|
LC50|1232801|1780|
LC50|1232801|1780|
LC50|8128|485|
LC50|35525|5|
LC50|35525|5|
LC50|7955|5156|
