"Species NCBI TaxID"|"Species ECOTOX Number"|
6660|421|
6660|421|
6660|421|
6660|421|
6660|421|
6660|421|
6660|421|
6660|421|
6660|421|
6660|421|
6660|421|
6660|421|
7998|20|
7998|20|
7998|20|
7998|20|
7998|20|
7998|20|
7998|20|
7998|20|
7998|20|
7998|20|
7998|20|
7998|20|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
85549|366|
59188|669|
104777|1747|
|16163|
|16163|
85549|366|
1041454|10965|
85549|366|
85549|366|
294128|52|
294128|52|
6689|11779|
8081|28|
329105|1670|
7153|85|
315576|964|
315576|964|
6386|532|
59188|669|
85549|366|
104777|1747|
59188|669|
85549|366|
85549|366|
104777|1747|
104777|1747|
|18239|
|18239|
45954|218|
45954|218|
45954|218|
45954|218|
45954|218|
45954|218|
45954|218|
45954|218|
45954|218|
45954|218|
45954|218|
45954|218|
85549|366|
59188|669|
104777|1747|
117530|2371|
294128|52|
7176|397|
7176|397|
7153|85|
61662|640|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
90988|1|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
85549|366|
117982|652|
117982|652|
117982|652|
85549|366|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
85549|366|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
85549|366|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
315709|27|
315709|27|
315709|27|
315709|27|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
90988|1|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
90988|1|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
8022|4|
8022|4|
8022|4|
8022|4|
117982|652|
117982|652|
117982|652|
117982|652|
84308|281|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
117982|652|
315709|27|
315709|27|
35525|5|
315709|27|
315709|27|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
28743|86|
8081|28|
28743|86|
7957|25|
7962|21|
7957|25|
7962|21|
7962|21|
7957|25|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
41692|869|
59188|669|
85549|366|
8022|4|
104777|1747|
59188|669|
85549|366|
104777|1747|
77663|10813|
245081|10804|
28379|247|
77663|10813|
28379|247|
245081|10804|
28379|247|
117530|2371|
6669|8|
117530|2371|
6669|8|
|75|
110441|142|
8127|134|
8129|138|
8081|28|
8081|28|
7962|21|
|2422|
7175|210|
7177|647|
7175|210|
7177|647|
329105|1670|
|2422|
|1049|
7176|397|
498392|4677|
7176|397|
|1049|
7159|230|
7159|230|
7159|230|
7159|230|
7160|1770|
10194|1205|
10194|1205|
85549|366|
59188|669|
104777|1747|
85549|366|
59188|669|
7878|13814|
104777|1747|
110441|142|
1232801|1780|
1232801|1780|
163131|2044|
163131|2044|
8022|4|
33397|81|
30275|5609|
30275|5609|
36930|5938|
665965|590|
152466|5360|
36930|5938|
152466|5360|
51631|1771|
73031|586|
73031|586|
216498|5611|
6386|532|
38577|1194|
38577|1194|
85549|366|
85549|366|
85549|366|
35525|5|
35525|5|
35525|5|
35525|5|
1875627|5231|
1218281|5933|
1218281|5933|
1875627|5231|
315576|964|
315576|964|
35525|5|
85549|366|
85549|366|
85549|366|
59188|669|
85549|366|
104777|1747|
8090|109|
1522908|5900|
1522908|5900|
1522908|5900|
1522908|5900|
59188|669|
85549|366|
85549|366|
104777|1747|
104777|1747|
117530|2371|
117530|2371|
90988|1|
90988|1|
90988|1|
90988|1|
6689|11779|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
8355|206|
85549|366|
59188|669|
90988|1|
104777|1747|
90988|1|
85549|366|
59188|669|
104777|1747|
85549|366|
85549|366|
85549|366|
|5926|
117540|2640|
59188|669|
85549|366|
85549|366|
117530|2371|
6689|11779|
|5672|
64144|351|
64152|528|
304456|418|
69293|97|
7955|5156|
7955|5156|
90988|1|
8081|28|
69293|97|
7955|5156|
7955|5156|
1218281|5933|
1218281|5933|
104777|1747|
104777|1747|
6386|532|
6386|532|
6386|532|
6386|532|
27404|1280|
35525|5|
90988|1|
7957|25|
7957|25|
7957|25|
7957|25|
7957|25|
204738|630|
204738|630|
104777|1747|
104777|1747|
104777|1747|
104777|1747|
104777|1747|
104777|1747|
104777|1747|
8356|1492|
8356|1492|
90988|1|
59188|669|
85549|366|
104777|1747|
6669|8|
35525|5|
59899|113|
59899|113|
93621|352|
8036|2191|
58324|383|
59899|113|
48668|42|
8040|82|
8032|49|
8030|68|
29158|385|
85549|366|
85549|366|
85549|366|
294128|52|
294128|52|
294128|52|
294128|52|
294128|52|
294128|52|
294128|52|
8128|485|
8128|485|
8128|485|
7153|85|
7153|85|
7153|85|
7153|85|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
8090|109|
6707|582|
6707|582|
6707|582|
85549|366|
85549|366|
6707|582|
72036|5473|
72036|5473|
72036|5473|
72036|5473|
85549|366|
6707|582|
294128|52|
38527|2333|
683832|422|
683832|422|
38527|2333|
683832|422|
38527|2333|
683832|422|
38527|2333|
38527|2333|
38527|2333|
683832|422|
38527|2333|
38527|2333|
337539|308|
50516|1844|
7175|210|
7175|210|
7153|85|
|1787|
|1787|
|1787|
1761709|4719|
|1787|
61662|640|
59188|669|
85549|366|
104777|1747|
8342|2355|
8342|2355|
|5672|
64152|528|
8128|485|
304456|418|
59899|113|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
7955|5156|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
8081|28|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
90988|1|
8081|28|
90988|1|
7962|21|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
8022|4|
