Endpoint|"Species NCBI TaxID"|"Species ECOTOX Number"|
LC50|426484|49938|
LC50|426484|49938|
LC50|219752|16126|
LC50|426484|49938|
LC50|426484|49938|
LC50|426484|49938|
LC50|7955|5156|
LC50|7955|5156|
LC50|90988|1|
LC50|7955|5156|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|37003|1517|
LC50|37003|1517|
LC50|37003|1517|
LC50|7955|5156|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|294128|52|
LC50|294128|52|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7176|397|
LC50|7165|2919|
LC50|7165|2919|
LC50||18447|
LC50|7165|2919|
LC50|7165|2919|
LC50|7159|230|
LC50|7165|2919|
LC50|7165|2919|
LC50|7165|2919|
LC50|7165|2919|
LC50|7165|2919|
LC50|7165|2919|
LC50|7165|2919|
LC50||18447|
LC50|104385|4734|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|35525|5|
LC50|7955|5156|
LC50|7955|5156|
LC50|29158|385|
LC50||16801|
LC50|7955|5156|
LC50|7955|5156|
LC50|29158|385|
LC50|7955|5156|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|90988|1|
LC50|8022|4|
LC50|35525|5|
LC50|304018|41903|
LC50|304018|41903|
LC50|304018|41903|
LC50|304018|41903|
LC50|313441|1632|
LC50|1606681|41904|
LC50|1606681|41904|
LC50|1606681|41904|
LC50|1606681|41904|
LC50|48699|73|
LC50|48699|73|
LC50|48699|73|
LC50|48699|73|
LC50|37273|4393|
LC50|8084|1681|
LC50|8084|1681|
LC50|8084|1681|
LC50|8084|1681|
LC50|42528|11805|
LC50|37273|4393|
LC50|37273|4393|
LC50|37273|4393|
LC50|7955|5156|
LC50|8081|28|
LC50|8081|28|
LC50|8081|28|
LC50|7955|5156|
LC50|8081|28|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7962|21|
LC50|7957|25|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50||1579|
LC50||1847|
LC50||1579|
LC50||1579|
LC50||1847|
LC50||1847|
LC50||1579|
LC50||1847|
LC50||1847|
LC50||1847|
LC50|55967|29537|
LC50||1847|
LC50||1579|
LC50||1847|
LC50||1579|
LC50||1847|
LC50||1579|
LC50|7159|230|
LC50|29158|385|
LC50|1400849|4389|
LC50|158387|6038|
LC50|30732|20710|
LC50|12922|16496|
LC50|55976|29013|
LC50|6660|421|
LC50|6660|421|
LC50|6660|421|
LD50|7955|5156|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|45438|2353|
LC50|45438|2353|
LC50|45438|2353|
LC50|45438|2353|
LC50|7955|5156|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|35525|5|
LC50|35525|5|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|360686|16315|
LC50|360686|16315|
LC50|104777|1747|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|7955|5156|
LC50|117530|2371|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|245074|2513|
LC50|7955|5156|
LC50|7955|5156|
LC50|35525|5|
LC50|129027|31029|
LC50|159741|1460|
LC50|93621|352|
LC50|93621|352|
LC50|205134|1584|
LC50|205134|1584|
LC50|205134|1584|
LC50|93621|352|
LC50|93621|352|
LC50|205134|1584|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50||32983|
LC50||32983|
LC50|178295|676|
LC50|7159|230|
LC50|7159|230|
LC50||18447|
LC50|7153|85|
LC50|644998|635|
LC50|644998|635|
LC50|644998|635|
LC50|644998|635|
LC50|644998|635|
LC50|644998|635|
LC50|644998|635|
LC50|644998|635|
LC50|644998|635|
LC50|644998|635|
LC50|644998|635|
LC50|8355|206|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|35525|5|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50||16801|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|7955|5156|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|6161|4764|
LC50|245074|2513|
LC50|7955|5156|
LC50|8355|206|
LC50|6660|421|
LC50|6660|421|
LC50|6660|421|
LC50|85549|366|
LC50|35525|5|
LC50|75329|997|
LC50|75329|997|
LC50|13013|2079|
LC50|13013|2079|
LC50|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
LC50|84645|202|
LC50/|683832|422|
LC50/|683832|422|
LC50/|683832|422|
