"Species NCBI TaxID"|"Species ECOTOX Number"|
3702|3160|
3702|3160|
3702|3160|
6326|18631|
6239|4550|
6239|4550|
51029|16135|
10116|4510|
10116|4510|
10116|4510|
10116|4510|
10116|4510|
10116|4510|
10116|4510|
10116|4510|
10116|4510|
8404|358|
8404|358|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
7165|2919|
10090|4913|
10090|4913|
10090|4913|
69820|16175|
69820|16175|
69820|16175|
69820|16175|
69820|16175|
69820|16175|
161013|25407|
161013|25407|
161013|25407|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
10090|4913|
10090|4913|
10090|4913|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7370|4907|
82600|16657|
82600|16657|
82600|16657|
82600|16657|
82600|16657|
283210|3604|
283210|3604|
283210|3604|
10090|4913|
10090|4913|
10090|4913|
10090|4913|
10090|4913|
10090|4913|
6396|4991|
6396|4991|
6396|4991|
6396|4991|
10116|4510|
10116|4510|
6390|1499|
6390|1499|
6390|1499|
6390|1499|
6390|1499|
|5106|
|5106|
389103|29915|
389103|29915|
389103|29915|
389103|29915|
389103|29915|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
7460|4910|
189291|26168|
189291|26168|
189291|26168|
189291|26168|
189291|26168|
189291|26168|
189291|26168|
189291|26168|
4530|3657|
4530|3657|
4530|3657|
4530|3657|
4530|3657|
4530|3657|
4530|3657|
43114|971|
43114|971|
43114|971|
43114|971|
43114|971|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
3711|3242|
82600|16657|
82600|16657|
56106|1341|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
168636|7588|
6396|4991|
6396|4991|
6396|4991|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
158441|7316|
320987|18882|
320987|18882|
320987|18882|
34638|10464|
34638|10464|
34638|10464|
34638|10464|
34638|10464|
34638|10464|
34638|10464|
1468589|32781|
10116|4510|
10116|4510|
10116|4510|
10116|4510|
10116|4510|
10116|4510|
10116|4510|
72267|28647|
72267|28647|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
4565|3930|
3702|3160|
